Date,N1,N2,N3,N4,N5,FireBall
25.08.2017,5,13,28,29,31,9
22.08.2017,5,7,33,34,35,10
18.08.2017,7,14,19,29,32,6
15.08.2017,1,6,9,29,32,4
11.08.2017,1,6,17,29,34,2
08.08.2017,2,9,26,27,30,3
04.08.2017,5,12,24,25,31,9
01.08.2017,17,19,21,22,30,3
28.07.2017,9,13,25,28,35,2
25.07.2017,14,24,28,29,35,8
21.07.2017,5,13,19,20,23,1
18.07.2017,8,9,22,27,34,9
14.07.2017,1,6,21,27,35,5
11.07.2017,12,22,23,30,34,9
07.07.2017,1,5,9,23,27,6
04.07.2017,23,24,28,34,35,6
30.06.2017,4,22,24,28,33,10
27.06.2017,9,11,19,33,34,10
23.06.2017,7,8,20,26,28,2
20.06.2017,3,6,15,26,29,3
16.06.2017,6,9,11,16,19,4
13.06.2017,7,12,18,27,33,8
09.06.2017,5,12,14,19,22,6
06.06.2017,6,13,20,23,26,6
02.06.2017,11,17,23,27,35,5
30.05.2017,7,11,13,22,28,6
26.05.2017,1,6,8,22,31,4
23.05.2017,4,15,18,20,26,8
19.05.2017,5,9,14,31,34,10
16.05.2017,2,24,26,29,30,10
12.05.2017,2,5,11,25,26,10
09.05.2017,4,5,8,21,28,1
05.05.2017,14,15,20,21,28,8
02.05.2017,9,16,21,25,30,7
28.04.2017,1,2,10,19,25,6
25.04.2017,11,13,22,26,34,6
21.04.2017,1,9,30,31,34,5
18.04.2017,1,10,14,25,35,6
11.04.2017,2,7,17,19,26,1
07.04.2017,3,8,16,28,31,1
04.04.2017,2,8,13,19,31,10
31.03.2017,17,19,32,33,35,6
28.03.2017,16,18,23,34,35,9
24.03.2017,16,30,31,34,35,8
21.03.2017,7,22,32,33,35,5
17.03.2017,4,5,7,8,35,8
14.03.2017,1,6,11,30,31,10
10.03.2017,9,14,17,21,30,3
07.03.2017,14,21,27,33,34,6
03.03.2017,2,12,15,22,24,3
28.02.2017,9,10,17,22,34,10
24.02.2017,3,15,16,23,34,10
21.02.2017,21,24,27,30,33,6
17.02.2017,7,17,21,29,32,7
14.02.2017,2,7,13,15,20,5
10.02.2017,4,17,26,30,32,10
07.02.2017,5,9,16,17,27,2
03.02.2017,4,6,17,19,27,10
31.01.2017,4,15,21,25,33,2
27.01.2017,1,15,21,24,34,10
24.01.2017,6,9,16,21,35,3
20.01.2017,14,19,26,28,31,7
17.01.2017,4,23,26,30,33,3
13.01.2017,12,20,22,27,34,5
10.01.2017,16,18,20,25,31,8
06.01.2017,7,9,15,28,35,3
03.01.2017,14,16,21,22,23,10
30.12.2016,2,18,19,26,29,1
27.12.2016,1,7,9,11,23,2
23.12.2016,10,14,18,19,34,3
20.12.2016,4,9,20,28,35,7
16.12.2016,9,15,18,21,34,6
13.12.2016,12,13,19,20,25,10
09.12.2016,9,12,23,25,33,5
06.12.2016,7,11,17,18,27,4
02.12.2016,4,7,9,14,29,4
29.11.2016,1,12,14,18,27,8
25.11.2016,4,15,21,22,25,9
22.11.2016,7,8,21,27,29,5
18.11.2016,3,11,12,22,23,8
15.11.2016,5,11,18,19,22,4
11.11.2016,3,11,18,24,34,9
08.11.2016,5,12,33,34,35,2
04.11.2016,5,9,15,21,23,4
01.11.2016,1,6,15,17,22,1
28.10.2016,1,19,26,27,32,3
26.10.2016,1,12,14,18,21,2
21.10.2016,1,3,8,14,32,10
18.10.2016,4,12,18,27,28,7
14.10.2016,3,10,13,27,34,5
11.10.2016,5,13,22,24,27,1
07.10.2016,2,5,15,20,26,6
04.10.2016,4,7,12,19,26,8
30.09.2016,4,14,18,21,24,3
27.09.2016,5,6,11,19,21,5
23.09.2016,10,15,17,22,30,6
20.09.2016,7,12,17,28,34,3
16.09.2016,4,12,14,16,23,5
13.09.2016,13,21,24,31,33,10
09.09.2016,9,13,14,22,28,3
06.09.2016,4,9,10,16,29,2
02.09.2016,6,9,10,20,27,7
30.08.2016,10,20,24,27,28,3
26.08.2016,1,4,12,13,34,6
23.08.2016,8,12,15,23,27,10
19.08.2016,8,11,13,27,28,4
16.08.2016,8,9,22,23,34,4
