Date,N1,N2,N3,N4,N5,FireBall
2013-07-23,2,6,22,32,34,3
2013-07-26,5,22,25,30,31,9
2013-07-30,3,10,14,18,30,2
2013-08-02,5,15,20,27,32,1
2013-08-06,7,10,13,16,27,6
2013-08-09,2,13,31,32,34,10
2013-08-13,1,9,11,14,26,6
2013-08-16,9,18,25,32,34,1
2013-08-20,4,21,24,29,34,6
2013-08-23,1,2,5,22,23,7
2013-08-27,5,8,21,30,32,8
2013-08-30,7,8,18,25,33,5
2013-09-03,15,17,18,27,34,9
2013-09-06,5,10,23,28,31,7
2013-09-10,1,16,24,26,30,10
2013-09-13,3,4,15,16,26,9
2013-09-17,7,19,26,27,34,2
2013-09-20,4,15,16,23,29,5
2013-09-24,3,16,30,31,34,7
2013-09-27,4,7,14,18,20,4
2013-10-01,3,5,6,24,29,1
2013-10-04,2,16,22,30,32,1
2013-10-08,17,19,21,25,27,5
2013-10-11,5,7,13,16,33,9
2013-10-15,9,14,23,25,28,7
2013-10-18,3,7,11,31,35,5
2013-10-22,4,15,19,23,30,10
2013-10-25,5,17,21,29,30,5
2013-10-29,10,12,22,28,33,4
2013-11-01,2,16,17,19,20,10
2013-11-05,10,13,14,27,29,10
2013-11-08,11,16,17,34,35,1
2013-11-12,2,4,7,33,35,6
2013-11-15,14,19,21,25,32,6
2013-11-19,1,18,27,31,32,4
2013-11-22,2,6,20,27,33,7
2013-11-26,12,19,20,23,34,4
2013-11-29,5,6,19,21,31,7
2013-12-03,21,24,29,30,32,2
2013-12-06,9,26,31,32,34,10
2013-12-10,15,28,29,31,35,7
2013-12-13,3,21,23,29,32,10
2013-12-17,7,11,15,31,34,8
2013-12-20,10,13,21,23,32,9
2013-12-24,9,21,25,29,34,9
2013-12-27,10,12,20,22,26,4
2013-12-31,4,15,27,28,33,2
2014-01-03,11,16,17,22,24,4
2014-01-07,14,18,19,21,23,6
2014-01-10,1,5,9,27,33,7
2014-01-14,7,8,15,21,32,10
2014-01-17,6,17,28,31,35,1
2014-01-21,1,3,4,10,23,7
2014-01-24,4,9,11,23,27,7
2014-01-28,4,8,30,32,35,10
2014-01-31,5,8,15,17,31,2
2014-02-04,6,8,15,27,35,3
2014-02-07,3,4,6,24,34,10
2014-02-11,7,11,13,24,33,8
2014-02-14,4,7,11,19,30,1
2014-02-18,8,10,13,24,29,2
2014-02-21,10,14,32,33,35,5
2014-02-25,13,17,25,29,35,8
2014-02-28,14,23,29,31,33,7
2014-03-04,4,7,14,23,27,1
2014-03-07,1,4,7,9,13,4
2014-03-11,2,6,14,18,35,2
2014-03-14,6,8,15,19,30,5
2014-03-18,3,7,15,18,34,5
2014-03-21,3,6,14,18,33,5
2014-03-25,5,12,13,23,35,4
2014-03-28,4,14,17,23,27,4
2014-04-01,5,18,23,26,32,1
2014-04-04,13,18,24,29,35,5
2014-04-08,3,7,25,27,35,6
2014-04-11,4,11,19,28,34,7
2014-04-15,4,8,17,24,26,7
2014-04-22,8,9,18,22,27,9
2014-04-25,6,7,16,22,27,7
2014-04-29,1,10,29,32,34,6
2014-05-02,2,6,12,24,25,7
2014-05-06,9,13,19,30,35,10
2014-05-09,6,11,21,27,29,6
2014-05-13,6,7,18,19,22,3
2014-05-16,6,9,12,14,24,4
2014-05-20,1,6,11,22,26,4
2014-05-23,20,21,23,29,31,2
2014-05-27,16,20,26,27,33,8
2014-05-30,5,9,13,14,25,2
2014-06-03,1,11,24,28,31,1
2014-06-06,8,9,19,21,29,7
